tconst;titleType;primaryTitle;originalTitle;isAdult;startYear;endYear;runtimeMinutes;genres
tt0076043;movie;Fontamara;Fontamara;False;1980;;139.0;['Drama']
tt0076276;movie;Who's Singin' Over There?;Ko to tamo peva;False;1980;;86.0;['Adventure', 'Comedy', 'Drama']
tt0076321;movie;The Six Directions of Boxing;Liu he ba fa;False;1980;;90.0;['Action', 'Drama']
tt0076396;movie;Mister Deathman;Mister Deathman;False;1983;;93.0;['Action']
tt0076426;movie;Music of the Spheres;Music of the Spheres;False;1984;;72.0;['Sci-Fi']
tt0076464;movie;You ni mei ni;You ni mei ni;False;1980;;;['Comedy']
tt0076580;movie;Qian zuo guai;Qian zuo guai;False;1980;;101.0;['Action', 'Adventure', 'Comedy']
tt0076709;movie;Game of Death II;Si wang ta;False;1980;;96.0;['Action', 'Crime', 'Mystery']
tt0076900;movie;Vtoraya popytka Viktora Krokhina;Vtoraya popytka Viktora Krokhina;False;1987;;98.0;['Drama', 'Sport']
tt0076917;movie;Whitewater Sam;Whitewater Sam;False;1982;;85.0;['Adventure', 'Western']
tt0077173;movie;Las apariencias engañan;Las apariencias engañan;False;1983;;109.0;['Comedy']
tt0077329;movie;Avenging Dragon;Bing xue qing guan ying xiong dan;False;1983;;92.0;['Action', 'Drama']
tt0077366;movie;Constelaciones;Constelaciones;False;1980;;85.0;['Drama']
tt0077367;movie;Consultorio sexológico;Consultorio sexológico;False;1980;;90.0;['Comedy']
tt0077389;movie;D.F./Distrito Federal;D.F./Distrito Federal;False;1981;;115.0;['Comedy', 'Drama']
tt0077428;movie;It Rained All Night the Day I Left;It Rained All Night the Day I Left;False;1980;;95.0;['Comedy', 'Crime']
tt0077472;movie;Dragon Lee Fights Again;Jie quan da dong kau;False;1981;;87.0;['Action', 'Drama']
tt0077484;movie;Editie speciala;Editie speciala;False;1980;;97.0;['Drama']
tt0077567;movie;The Sleep of Death;The Sleep of Death;False;1980;;90.0;['Horror']
tt0077634;movie;The Great Skycopter Rescue;The Great Skycopter Rescue;False;1980;;96.0;['Action', 'Adventure']
tt0077645;movie;Challenge of the Tiger;Mie jue qi qi;False;1980;;87.0;['Action', 'Thriller']
tt0077648;movie;Habibi, amor mío;Habibi, amor mío;False;1981;;95.0;['Drama', 'Romance']
tt0077722;movie;A Ilha dos Amores;A Ilha dos Amores;False;1982;;170.0;['Biography', 'Drama', 'Romance']
tt0077731;movie;Messo comunale praticamente spione;Messo comunale praticamente spione;False;1982;;90.0;['Comedy']
tt0077772;movie;The Executor;Zhi fa zhe;False;1981;;95.0;['Crime']
tt0077883;movie;Love Between the Raindrops;Lásky mezi kapkami deste;False;1980;;126.0;['Comedy', 'Drama', 'Romance']
tt0077885;movie;Mademoiselle;Mademoiselle;False;1982;;97.0;['Comedy', 'Romance']
tt0077960;movie;Las muñecas del King Kong;Las muñecas del King Kong;False;1981;;83.0;['Drama']
tt0078053;movie;Two Female Spies with Flowered Panties;Ópalo de fuego: Mercaderes del sexo;False;1980;;96.0;['Thriller']
tt0078075;movie;Wire Dog;Perro de alambre;False;1980;;113.0;['Drama']
tt0078113;movie;Primitif;Primitif;False;1980;;90.0;['Adventure', 'Horror']
tt0078178;movie;Le rose et le blanc;Le rose et le blanc;False;1982;;100.0;['Comedy', 'Drama']
tt0078296;movie;Son o no son;Son o no son;False;1980;;84.0;['Comedy', 'Musical']
tt0078304;movie;Sowizdrzal swietokrzyski;Sowizdrzal swietokrzyski;False;1980;;97.0;['Comedy', 'Drama']
tt0078349;movie;Swan Lake;Sekai meisaku dôwa: Hakuchô no mizûmi;False;1981;;75.0;['Adventure', 'Animation', 'Family']
tt0078356;movie;Tusk;Tusk;False;1980;;119.0;['Drama']
