;tconst;primaryTitle;originalTitle;startYear;runtimeMinutes;genres;region
127;tt0079899;Brave Archer and His Mate;Shen diao xia lü;1982;100.0;['Action', 'Romance'];US
128;tt0079915;Skullduggery;Skullduggery;1983;95.0;['Comedy', 'Horror'];US
129;tt0079924;Solo Sunny;Solo Sunny;1980;104.0;['Drama', 'Music'];US
130;tt0079938;The Touch;Sparsh;1980;145.0;['Drama', 'Romance'];US
131;tt0079959;Strong Medicine;Strong Medicine;1981;84.0;['Drama'];US
132;tt0079985;The Secret Life of Nikola Tesla;Tajna Nikole Tesle;1980;115.0;['Biography', 'Drama'];US
133;tt0080001;Temporale Rosy;Temporale Rosy;1980;118.0;['Action', 'Comedy', 'Drama'];US
134;tt0080002;Ten Tigers of Kwangtung;Guangdong shi hu xing yi wu xi;1980;91.0;['Action', 'Drama'];US
135;tt0080014;There Goes the Bride;There Goes the Bride;1980;88.0;['Comedy'];US
136;tt0080031;Tom Horn;Tom Horn;1980;98.0;['Biography', 'Crime', 'Drama'];US
137;tt0080041;All Stars;Tous vedettes!;1980;120.0;['Comedy', 'Musical', 'Romance'];FR
138;tt0080075;Madness;Vacanze per un massacro;1980;85.0;['Action', 'Crime', 'Drama'];US
139;tt0080082;Vasárnapi szülök;Vasárnapi szülök;1980;106.0;['Drama'];FR
140;tt0080121;Warum die UFOs unseren Salat klauen;Warum die UFOs unseren Salat klauen;1980;91.0;['Comedy', 'Romance', 'Sci-Fi'];US
141;tt0080144;Woman Avenger;Shi mei chu ma;1980;92.0;['Action'];US
142;tt0080153;Wu zhuang yuan;Wu zhuang yuan;1980;89.0;['Action', 'Drama'];FR
143;tt0080164;Your Ticket Is No Longer Valid;Your Ticket Is No Longer Valid;1981;92.0;['Drama'];FR
144;tt0080310;Breaker Morant;'Breaker' Morant;1980;107.0;['Drama', 'History', 'War'];US
145;tt0080311;...Maybe This Time;...Maybe This Time;1980;96.0;['Drama'];US
146;tt0080314;1958;1958;1980;96.0;['Action', 'Crime', 'Drama'];GB
147;tt0080316;The Battle of Port Arthur;203 kochi;1980;185.0;['Drama', 'History', 'War'];US
