;tconst;primaryTitle;originalTitle;startYear;runtimeMinutes;genres;region;averageRating;numVotes;weight_average
3288;tt0089000;Deadly Twins;Deadly Twins;1985;87.0;['Action', 'Drama'];US;4.2;67.0;0.0
6057;tt0095852;Périgord noir;Périgord noir;1989;100.0;['Comedy'];FR;5.5;47.0;0.0
6093;tt0095931;The Pursuit of Happiness;The Pursuit of Happiness;1988;83.0;['Drama'];US;5.3;10.0;0.0
3287;tt0088999;Deadly Passion;Deadly Passion;1985;100.0;['Crime', 'Drama', 'Thriller'];GB;3.9;64.0;0.0
3284;tt0088988;Dangerous Orphans;Dangerous Orphans;1986;87.0;['Action'];FR;4.7;60.0;0.0
6096;tt0095938;Fury;Qing yi xin;1988;90.0;['Action'];US;6.3;42.0;0.0
3278;tt0088971;Crónica de familia;Crónica de familia;1986;103.0;['Crime', 'Drama', 'Mystery'];GB;6.2;26.0;0.0
3267;tt0088946;Company of Women;Company of Women;1985;100.0;['Crime'];GB;5.0;16.0;0.0
3256;tt0088928;Claudia;Claudia;1985;88.0;['Drama'];US;6.1;35.0;0.0
3252;tt0088902;Charley;Charley;1986;60.0;['Comedy'];GB;4.9;27.0;0.0
3348;tt0089131;Father Guido Sarducci Goes to College;Father Guido Sarducci Goes to College;1985;59.0;['Comedy'];US;7.5;30.0;0.0
6055;tt0095849;The Perfect Model;The Perfect Model;1988;89.0;['Drama'];US;5.8;22.0;0.0
5987;tt0095660;The Most Dangerous Man in the World;The Most Dangerous Man in the World;1988;98.0;['Action', 'Thriller'];GB;5.9;11.0;0.0
6017;tt0095743;Niiwam;Niiwam;1988;80.0;['Comedy', 'Drama'];FR;6.9;12.0;0.0
5993;tt0095680;It's Murphy's Fault;It's Murphy's Fault;1988;96.0;['Comedy', 'Drama'];US;5.8;31.0;0.0
3437;tt0089350;Invitation to the Wedding;Invitation to the Wedding;1983;90.0;['Comedy'];US;5.7;38.0;0.0
3429;tt0089327;Nuclear Gypsies;Ikiteru uchiga hana nanoyo shin-dara sore madeyo to sengen;1985;105.0;['Comedy'];US;6.7;30.0;0.0
3424;tt0089309;The Seven Angels;Huan chang;1985;81.0;['Comedy'];US;5.3;25.0;0.0
3414;tt0089292;Hong Kong Butcher;Xiang Gang tu fu;1985;90.0;['Crime', 'Horror', 'Thriller'];US;4.8;29.0;0.0
3400;tt0089266;Heidenlöcher;Heidenlöcher;1986;100.0;['Drama', 'War'];US;6.5;38.0;0.0
3394;tt0089255;Hard Traveling;Hard Traveling;1986;99.0;['Drama'];US;6.2;36.0;0.0
6018;tt0095744;Nincompoop;Nincompoop;1988;87.0;['Comedy'];US;7.3;15.0;0.0
3352;tt0089149;First Strike;First Strike;1984;94.0;['Drama'];US;4.4;56.0;0.0
6020;tt0095755;Not Since Casanova;Not Since Casanova;1988;80.0;['Comedy'];US;8.3;17.0;0.0
3389;tt0089241;The Gunfighter;The Gunfighter;1983;92.0;['Action', 'Western'];US;5.8;16.0;0.0
3387;tt0089234;Die Grünstein-Variante;Die Grünstein-Variante;1985;104.0;['Drama'];FR;7.8;35.0;0.0
3379;tt0089215;18 Golden Destroyers;Golden Destroyers;1985;89.0;['Action'];US;4.8;24.0;0.0
6031;tt0095790;Open Fire;Open Fire;1989;90.0;['Action', 'Drama'];US;4.6;54.0;0.0
6033;tt0095794;Fine Gold;Oro fino;1989;96.0;['Drama'];US;5.5;58.0;0.0
3377;tt0089207;Days of Hell;I giorni dell'inferno;1986;89.0;['Action', 'War'];FR;3.4;68.0;0.0
3370;tt0089191;The Musical Singer;Ge wu sheng ping;1985;89.0;['Romance'];US;6.2;25.0;0.0
3741;tt0090118;High Heels;Tacos altos;1985;87.0;['Drama'];US;5.8;55.0;0.0
