,Unnamed: 0,tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,region,averageRating,numVotes,weight_average
6349,6349,tt0096755,Torrents of Spring,Torrents of Spring,1989,101.0,"['Drama', 'Romance']",US,5.8,384.0,3e-05
6527,6527,tt0097230,Dracula's Widow,Dracula's Widow,1988,86.0,"['Horror', 'Thriller']",US,4.0,519.0,3e-05
4781,4781,tt0092815,Daddy,Daddy,1987,100.0,['Drama'],US,5.8,329.0,3e-05
5031,5031,tt0093341,The Key,Kelid,1987,76.0,['Drama'],US,7.1,272.0,3e-05
4785,4785,tt0092829,Strawman,Dao cao ren,1987,94.0,"['Comedy', 'Drama', 'History']",US,7.4,280.0,3e-05
8114,8114,tt0176016,The Perfect Murder,The Perfect Murder,1988,93.0,"['Action', 'Comedy', 'Crime']",GB,5.9,316.0,3e-05
8100,8100,tt0174918,Ningyo densetsu,Ningyo densetsu,1984,110.0,"['Crime', 'Drama', 'Horror']",FR,6.8,251.0,3e-05
5679,5679,tt0094942,Dance of the Damned,Dance of the Damned,1989,82.0,"['Drama', 'Horror', 'Romance']",US,5.6,398.0,3e-05
5687,5687,tt0094957,Day of the Panther,Day of the Panther,1988,84.0,['Action'],US,4.5,449.0,3e-05
5019,5019,tt0093311,Jim & Piraterna Blom,Jim & piraterna Blom,1987,92.0,"['Adventure', 'Comedy', 'Family']",US,6.1,368.0,3e-05
4798,4798,tt0092847,Deadly Illusion,Deadly Illusion,1987,87.0,"['Adventure', 'Crime', 'Mystery']",US,4.7,402.0,3e-05
7445,7445,tt0123890,Hodja from Pjort,Hodja fra Pjort,1985,76.0,"['Family', 'Fantasy']",US,5.4,330.0,3e-05
7447,7447,tt0123904,"Well, Come On, Smile",Naerata ometi,1985,85.0,['Drama'],FR,7.4,261.0,3e-05
5011,5011,tt0093296,Jane and the Lost City,Jane and the Lost City,1987,94.0,"['Action', 'Adventure', 'Comedy']",US,4.2,526.0,3e-05
7448,7448,tt0123915,Invaders of the Lost Gold,Horror Safari,1982,90.0,"['Action', 'Adventure', 'War']",US,3.2,584.0,3e-05
6118,6118,tt0095996,Rikky and Pete,Rikky and Pete,1988,101.0,"['Comedy', 'Drama']",US,5.8,296.0,3e-05
5009,5009,tt0093290,"Farewell, Mr. President",Jäähyväiset presidentille,1987,87.0,"['Crime', 'Thriller']",US,6.5,333.0,3e-05
6491,6491,tt0097135,Curfew,Curfew,1989,86.0,"['Crime', 'Drama', 'Horror']",US,4.1,545.0,3e-05
7461,7461,tt0124169,Tokyo Trial,Tôkyô saiban,1983,277.0,"['Documentary', 'War']",US,7.7,215.0,3e-05
6132,6132,tt0096034,Sans peur et sans reproche,Sans peur et sans reproche,1988,100.0,"['Comedy', 'History']",FR,5.2,390.0,3e-05
5040,5040,tt0093367,Peacock King,Hung cheuk wong ji,1988,86.0,"['Action', 'Adventure', 'Fantasy']",US,6.0,377.0,3e-05
7306,7306,tt0107715,Nukie,Nukie,1987,95.0,"['Family', 'Sci-Fi']",US,1.7,1274.0,3e-05
